Computer Name,Number of Disconnects
FRONTDESK-PC,1
BETHGARWICK,1
FRONTOFFICEPELH,1
APTOFFICE,1
BETHGARWICK,1
PELHAMLAPTOP,2
APTOFFICE,1
KCUTSHALL-PC,1
KCUTSHALL-PC,1
BETHGARWICK,1
APTPELHAM,1
APTOFFICE,1
COMPUTER2,1
PELHAMLAPTOP,1
APTOFFICE,1
CLAYTON-PC,2
APTOFFICE,1
APTTRUSSVILLE,1
PELHAMLAPTOP,1
APTTRUSSVILLE,2
APTOFFICE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
APTTRUSSVILLE,1
APTPELHAM,1
APTMOODY,1
KCUTSHALL-PC,2
PELHAMLAPTOP,1
LAPTOP2,1
APTOFFICE,1
KCUTSHALL-PC,2
BETHGARWICK,1
KCUTSHALL-PC,1
OWNER-BC8810E49,1
COMPUTER2,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,1
CHELLAPTOP2,1
BETHGARWICK,1
KCUTSHALL-PC,1
KCUTSHALL-PC,2
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
BETHGARWICK,1
BETHGARWICK,1
APTMOODY,1
PELHAMLAPTOP,1
OWNER-BC8810E49,1
CHELLAPTOP2,1
PELHAMLAPTOP,1
APTOFFICE,2
OWNER-BC8810E49,1
PELHAMLAPTOP,2
APTMOODY,1
OWNER-BC8810E49,1
FRONTOFFICE,2
CHELLAPTOP2,1
PELHAMLAPTOP,1
CHELLAPTOP2,1
MOODYLAPTOP,1
KCUTSHALL-PC,1
APTOFFICE,1
APTPELHAM,1
APTTRUSSVILLE,1
APTOFFICE,1
OWNER-BC8810E49,1
BETHGARWICK,1
APTMOODY,1
KCUTSHALL-PC,1
FRONTOFFICE,1
CHELLAPTOP2,1
LAPTOP2,1
FRONTOFFICEPELH,1
MOODYLAPTOP,1
KCUTSHALL-PC,1
MOODYLAPTOP,1
LAPTOP2,1
APTTRUSSVILLE,1
PELHAMLAPTOP,1
APTOFFICE,1
APTOFFICE,1
FRONTOFFICE,1
CHELLAPTOP2,1
BETHGARWICK,1
MOODYLAPTOP,1
APTOFFICE,1
PELHAMLAPTOP,1
APTPELHAM,1
FRONTOFFICE,1
APTTRUSSVILLE,1
PELHAMLAPTOP,1
FRONTOFFICE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
BETHGARWICK,1
OWNER-BC8810E49,1
PHOENIX,1
OWNER-BC8810E49,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
CHELLAPTOP2,1
CHELLAPTOP2,1
BETHGARWICK,1
PHOENIX,1
PHOENIX,1
PELHAMLAPTOP,1
BETHGARWICK,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,1
BETHGARWICK,1
BETHGARWICK,1
APTTRUSSVILLE,1
APTOFFICE,1
APTOFFICE,1
COMPUTER1,1
APTTRUSSVILLE,1
BETHGARWICK,1
PELHAMLAPTOP,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
APTMOODY,1
APTOFFICE,1
COMPUTER1,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
APTMOODY,1
MOODYLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,1
APTPELHAM,1
APTOFFICE,1
APTOFFICE,1
BETHGARWICK,1
PELHAMLAPTOP,1
BETHGARWICK,1
APTTRUSSVILLE,1
BETHGARWICK,1
BETHGARWICK,1
COMPUTER1,1
APTOFFICE,1
BETHGARWICK,1
BETHGARWICK,1
PELHAMLAPTOP,1
BETHGARWICK,1
APTOFFICE,1
BETHGARWICK,1
APTTRUSSVILLE,1
MOODYLAPTOP,1
MOODYLAPTOP,1
FRONTOFFICE,1
PELHAMLAPTOP,1
EMMETT-THINK,1
PELHAMLAPTOP,1
EMMETT-THINK,1
FRONTOFFICE,1
MOODYLAPTOP,1
APTTRUSSVILLE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,1
APTTRUSSVILLE,1
APTOFFICE,1
PELHAMLAPTOP,1
MOODYLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,1
APTOFFICE,1
APTTRUSSVILLE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
CHELLAPTOP2,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
APTTRUSSVILLE,1
APTOFFICE,1
BETHGARWICK,1
BETHGARWICK,1
APTOFFICE,1
BETHGARWICK,1
BETHGARWICK,1
BETHGARWICK,1
MOODYLAPTOP,1
OWNER-BC8810E49,1
APTPELHAM,1
KCUTSHALL-PC,1
MOODYLAPTOP,1
FRONTDESK-PC,1
BETHGARWICK,1
BETHGARWICK,1
FRONTDESK-PC,1
FRONTDESK-PC,1
BETHGARWICK,1
BETHGARWICK,1
APTTRUSSVILLE,1
APTTRUSSVILLE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
MOODYLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,1
APTTRUSSVILLE,1
APTTRUSSVILLE,1
APTOFFICE,1
MOODYLAPTOP,1
APTMOODY,1
APTTRUSSVILLE,1
CHELLAPTOP2,1
PELHAMLAPTOP,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
PELHAMLAPTOP,1
APTOFFICE,1
KCUTSHALL-PC,1
APTTRUSSVILLE,1
KCUTSHALL-PC,2
EMMETT-THINK,1
BETHGARWICK,1
FRONTDESK-PC,1
MOODYLAPTOP,1
MOODYLAPTOP,1
MOODYLAPTOP,1
MOODYLAPTOP,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
EMMETT-THINK,1
APTPELHAM,1
APTMOODY,1
APTOFFICE,1
BETHGARWICK,1
APTTRUSSVILLE,1
APTTRUSSVILLE,1
EMMETT-THINK,1
APTOFFICE,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
APTTRUSSVILLE,1
OWNER-BC8810E49,1
APTOFFICE,1
OWNER-BC8810E49,1
APTTRUSSVILLE,1
APTMOODY,1
APTTRUSSVILLE,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
APTTRUSSVILLE,1
OWNER-BC8810E49,1
APTOFFICE,1
APTOFFICE,1
BETHGARWICK,1
MOODYLAPTOP,1
MOODYLAPTOP,1
APTOFFICE,1
APTTRUSSVILLE,1
BETHGARWICK,1
MOODYLAPTOP,1
COMPUTER1,1
OWNER-BC8810E49,1
FRONTDESK-PC,1
OWNER-BC8810E49,1
APTOFFICE,1
FRONTOFFICEPELH,1
APTTRUSSVILLE,1
APTOFFICE,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
BETHGARWICK,1
FRONTOFFICE,1
MOODYLAPTOP,1
MOODYLAPTOP,1
COMPUTER1,1
APTOFFICE,1
APTOFFICE,1
OWNER-BC8810E49,1
APTOFFICE,1
FRONTOFFICE,1
FRONTOFFICEPELH,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
FRONTOFFICEPELH,1
MOODYLAPTOP,1
MOODYLAPTOP,1
APTOFFICE,1
APTPELHAM,1
OWNER-BC8810E49,1
MOODYLAPTOP,1
EMMETT-THINK,1
FRONTOFFICEPELH,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
FRONTOFFICE,1
APTOFFICE,1
APTTRUSSVILLE,1
BETHGARWICK,1
OWNER-BC8810E49,1
BETHGARWICK,1
APTOFFICE,1
APTOFFICE,1
APTPELHAM,1
BETHGARWICK,1
APTMOODY,1
APTMOODY,1
FRONTOFFICE,1
APTOFFICE,1
APTOFFICE,1
CHELLAPTOP2,1
OWNER-BC8810E49,1
FRONTOFFICE,1
BETHGARWICK,1
FRONTOFFICE,1
BETHGARWICK,1
BETHGARWICK,1
APTMOODY,1
MOODYLAPTOP,2
APTMOODY,1
APTOFFICE,1
BETHGARWICK,1
BETHGARWICK,1
APTTRUSSVILLE,1
APTOFFICE,1
APTOFFICE,1
BETHGARWICK,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
KCUTSHALL-PC,2
FRONTOFFICE,1
BETHGARWICK,1
BETHGARWICK,1
BETHGARWICK,1
APTOFFICE,1
BETHGARWICK,1
FRONTDESK-PC,1
APTOFFICE,1
COMPUTER1,1
APTOFFICE,1
FRONTDESK-PC,1
COMPUTER1,1
FRONTDESK-PC,1
APTTRUSSVILLE,1
APTOFFICE,1
