Computer Name,Number of Disconnects
APTPELHAM,52
APTOFFICE,37
KCUTSHALL-PC,1
KCUTSHALL-PC,3
KCUTSHALL-PC,7
EMMETT-THINK,2
APTPELHAM,2
APTOFFICE,3
APTOFFICE,4
APTPELHAM,3
KCUTSHALL-PC,11
APTOFFICE,3
PELHAMLAPTOP,4
KCUTSHALL-PC,24
LAPTOP2,1
APTOFFICE,3
KCUTSHALL-PC,14
FRONTOFFICE,98
KCUTSHALL-PC,1
KCUTSHALL-PC,35
APTOFFICE,4
PELHAMLAPTOP,1
CHELLAPTOP2,3
APTOFFICE,3
APTOFFICE,1
APTOFFICE,2
PELHAMLAPTOP,1
APTOFFICE,4
APTOFFICE,2
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PHOENIX,4
APTOFFICE,3
APTOFFICE,1
APTOFFICE,3
COMPUTER1,3
APTTRUSSVILLE,2
APTOFFICE,4
COMPUTER1,3
APTOFFICE,4
COMPUTER1,3
APTTRUSSVILLE,2
APTOFFICE,2
APTOFFICE,4
APTOFFICE,1
APTOFFICE,3
COMPUTER1,5
APTOFFICE,4
BETHGARWICK,3
BETHGARWICK,2
APTOFFICE,3
EMMETT-THINK,4
APTOFFICE,4
APTOFFICE,2
APTOFFICE,4
APTOFFICE,3
APTOFFICE,3
APTPELHAM,3
PELHAMLAPTOP,5
APTOFFICE,3
MOODYLAPTOP,3
APTMOODY,3
APTOFFICE,3
LONEWOLF,5
CHELLAPTOP2,2
FRONTOFFICE,2
APTOFFICE,20
APTOFFICE,21
APTPELHAM,20
APTOFFICE,18
APTOFFICE,6
APTOFFICE,14
APTOFFICE,15
APTOFFICE,18
APTOFFICE,1
APTOFFICE,3
FRONTDESK-PC,17
APTOFFICE,12
APTOFFICE,15
TOOMASA-PC,3
TOOMASA-PC,3
FRONTOFFICE,2
APTOFFICE,39
APTOFFICE,14
EMMETT-THINK,92
FRONTOFFICEPELH,72
FRONTOFFICEPELH,12
APTPELHAM,17
APTOFFICE,10
APTOFFICE,8
APTOFFICE,13
APTOFFICE,12
CHELLAPTOP2,2
OWNER-BC8810E49,2
FRONTOFFICE,2
APTMOODY,54
MOODYLAPTOP,99
APTOFFICE,33
APTOFFICE,18
APTOFFICE,6
KCUTSHALL-PC,157
COMPUTER1,2
APTOFFICE,9
FRONTDESK-PC,14
COMPUTER1,8
FRONTDESK-PC,30
APTTRUSSVILLE,30
APTOFFICE,14
